start	end	text
0	19000	Herzlich Willkommen zum Bison Crash Course B und ja, ich starte dann gleich mal was wir heute oder was wir gestern gemacht haben, zur Wiederholung nochmal, also wir haben da bisschen die Variablen durchgemacht,
20000	43000	also zwei Datentypen, die Operatoren plus, minus, Division, Multiplikation, Strings, wie man Strings zu Integers und Floats castet und umgekehrt und nochmal Assignment 0, also heute ist Deadline, bitte alle Assignment 0 abgeben, sonst werdet ihr vom Kurs abgemeldet.
44000	55000	Ich starte jetzt gleich den Feedbacker, dann könnt ihr mir da toll die Fragen beantworten.
55000	81000	So, ich glaube eine Frage könnte ein bisschen schwerer sein oder zwei, aber ist egal, versucht einfach und dann diskutieren wir.
86000	105000	Dann gehen wir mal gemeinsam eure Antworten durch, schaue ich, ob ich da meinen Mauszeiger finde oder nicht, ja.
105000	134000	Okay, also falls ihr noch erinnern könnt, bei den Variablenamen ist so, die dürfen nicht mit einer Zahl beginnen, deshalb ist zum Beispiel das 1 unter Strich Message ungeltig, es dürfen noch keine Leerzeichen zwischen den Variablenamen vorkommen, deshalb ist auch short Leerzeichen name ungeltig.
136000	154000	Und das letzte ist auch ungeltig, weil Sonderzeichen leider auch nicht erlaubt sind, es sind nur Anderskurs aus Sonderzeichen erlaubt und eben sonst Zahlen zwischen den, also zwischen im Variablenamen aber nicht am Anfang.
155000	174000	Generell solltet ihr überhaupt versuchen Zahlen in Variablenamen zu vermeiden, ist natürlich praktisch und geht schnell, also vielleicht bei den Abgaben schauen, dass ihr da keine Zahlen drin habt, aber sonst, wenn ihr einfach so codet, kein Problem.
175000	177000	Gibt es da sonst Fragen?
179000	180000	Ja.
180000	193000	Die Zahl muss man nicht ausschreiben, man kann auch wirklich eine 1 reinschreiben, sie darf nur nicht am Anfang sein wie bei 1 Anderskurs Message.
194000	220000	Da hat mir eben ja hartlich richtig abgestimmt, genau also es ist so, dass praktisch H1 mit dem Wert von H2 in der letzten Zeile überschrieben wird und wir deshalb praktisch dann den Wert 5 drinstehen haben.
221000	228000	Genau, gibt es da sonst noch Fragen drüber?
230000	243000	Also die unter zwei Antwortmöglichkeiten sind okay, das sind hier nicht Strings, aber das sind einfach nur, kann man das interpretieren als Variable.
244000	256000	Ja, pass H2, könnte man richtig gelten, wenn man meint okay, ja das ist der Wert von H2, 5 ist halt korrekt in diesem Fall.
259000	269000	Ja, das ist auch eine Tricksfrage, wir haben bei Bullians Tag gar nicht durchgemacht, das werden wir heute nochmal kurz durchmachen, ich habe gestern ein bisschen erwähnt.
270000	278000	Hier gefragt speziell ist der Datentyp und nicht der Wert der Variable, deshalb ist Bullian richtig.
282000	297000	Dadurch, dass wir das nicht wirklich durchgemacht haben, ist es natürlich ein bisschen schwer verständlich, aber praktisch dieses H kleiner als 15 ist praktisch ein Ausdruck, der eben wahr oder falsch ergibt.
299000	305000	Aber der Datentyp von diesem Konstrukt ist praktisch ein Bullian.
307000	309000	Gibt es da zu fragen?
310000	312000	Okay, sonst machen wir hier dann gleich durch.
313000	320000	Ja, das Titel haben wir glaube ich auch nur kurz drüber geskippt gestern.
321000	331000	Titel ist eben eine Funktion, die immer den Großbuchstaben von einem Wort, den ersten Buchstaben eines Wortes groß macht.
332000	335000	Hier seht ihr den ersten Antwort, die auch richtig ist.
337000	341000	Zum Beispiel Informatik-BW, ganz groß geschrieben, das wäre zum Beispiel Appa.
349000	353000	Dann gibt es natürlich auch das ungekehrte Lower.
353000	365000	Zyntax error gibt es in diesem Fall nicht, weil ja praktisch den Code korrekt geschrieben haben.
374000	376000	Gibt es da zu fragen?
376000	384000	Die ganzen Stringfunktionen oder halt Großstelle Stringfunktionen, das sind jetzt auch in der Vorlesungsfolie von gestern enthalten.
384000	392000	Die sollten jetzt online im D-Center, tut greifbar sein, hoffentlich, sonst meldet ihr euch bitte.
400000	402000	Genau, da gibt es jetzt auch mehrere Antworten.
403000	412000	Hier diese Antwort ist falsch, weil wir keinen String mit einem Integer kombinieren können, was leider ein Fehler wirft.
413000	417000	Wir können natürlich zwei Strings kombinieren, das ist kein Problem.
419000	428000	Hier können wir ein Format-String verwenden, das heißt praktisch hier haben wir dieses F davor und dann in den geschwungenen Klammern haben wir den variablen Namen stehen
429000	438000	und dann wird praktisch der Wert dieser Variable hier reingeschrieben und die geschwungenen Klammern sind einfach praktisch irgendwann ignoriert.
442000	452000	Genau, das ist einfach eine andere Anwendung von Format-Strings und hier auch nochmal eine andere Anwendung von Format-Strings.
452000	454000	Gibt es da zu fragen?
459000	479000	Okay, ja, das haben wir eh gestern durchgemacht, diese Antwort hier würde praktisch das hier liefern, also wenn wir uns das nochmal vorstellen,
480000	492000	dann haben wir die Indizierung 0, 1, 2, 3, 4, 5 und 6.
495000	504000	Dann ist die Zahl vor dem Doppelpunkt der Start, das heißt der ist inklusive, also von hier.
505000	512000	Und nach dem Doppelpunkt haben wir gar keine Zahl, das heißt es geht bis ans Ende, das heißt wir würden Unterstrich-Gradz kriegen.
513000	524000	Und das letzte wäre praktisch von 0 bis 1, das wäre praktisch 1 ist also das Ende sehr immer explosiver, das heißt wir haben nur 0 bis 0 und das wäre in diesem Fall ein T.
526000	528000	Gibt es da zu fragen?
529000	530000	Okay.
534000	555000	Hier wieder ein großer Richtig, hier sind auch wieder zwei einfach nur Strings, Trickfragen oder Antworten drin, wie immer praktisch man kann nicht Strings mit Integer kombinieren,
555000	557000	dann müsste man davor kasten.
557000	565000	So, dann noch so von der Frage.
566000	578000	Dabel gibt es, wenn ich mir richtig erinnere, nicht, also nicht, es gibt Bibotheken, die das ermöglichen, die praktisch mehr Datentypen zur Verfügung stellen,
579000	588000	die praktisch eine Schnittstelle zwischen zum Beispiel C und Pfeifen liefern, zum Beispiel eine der bekanntesten ist NumPy.
595000	600000	Die einem praktisch eine schnellere Berechnung ermöglicht.
604000	605000	Genau.
606000	608000	Wie läuft die Vorprogrammierung ab?
608000	613000	Ist es schwierig, was passiert, wenn der Code nicht funktioniert, aber der Code fast richtig programmiert wurde, danke.
613000	620000	Ja, es ist so, ihr habt ja ja wenig Zeit und deshalb auch wenig Zeit zum Testen.
620000	634000	Es ist da kein Problem, falls der Code nicht funktioniert, also die Totoren gehen da wirklich alle Abgaben manuell durch und schauen, ob praktisch das Großteil richtig verstanden wurde.
635000	648000	Also, wenn man da jetzt mal Karnung kurz einen irgendeinen Fehler übersehen hat, dann ist das jetzt nicht so problematisch.
650000	658000	Schwierig ist es, wenn man jetzt nicht übt, also das ist praktisch waschologisch,
