start	end	text
0	9000	Perfekt. Ja, dann, hallo und herzlich willkommen zum
9000	15920	Beifen Crash Course D. Mit diesem Crash Course, mit diesem letzten Crash Course,
15920	21200	solltet ihr praktisch alle Grundprinzipien von Beifen kennengelernt haben, die ihr dann
21200	29000	für Asylent-1 brauchen wird. Es gibt ja natürlich noch weitere Crash Courses zu
29000	38000	Pandas und Zympai. Ja. Das sollte jetzt gefixt sein.
41000	44000	Passt dann ändere ich das nach der Vorlesung um.
44000	55000	Genau, ich weiß nicht, ich glaube, im Kalender ist heute die Vorlesungseinheit ein bisschen länger eingetragen.
55000	61000	Sie sollte aber eigentlich gleich lang bleiben wie alle davor. Wir können es aber bis Sie verlängern,
61000	69000	falls ihr noch kurz Asylent-1 kurz durchgehen wollt. Ich starte sonst gleich mal mit dem Feedbacken.
69000	74000	Schauen wir, können Sie mal...
77000	80000	Und ich schaue mir kurz an.
86000	100000	Stimmt zu Asylent-1 gab es gestern noch technische Schwierigkeiten, deshalb ist es erst ab heute verfügbar.
103000	106000	Aber ja, ich schaue mal...
106000	116000	Ich habe es gestimmt.
167000	176000	Ich habe es gestürzt, ich habe es gestürzt.
176000	186000	Ich habe es gestürzt, ich habe es gestürzt.
186000	213000	Die vorletzte Frage haben wir noch gar nicht durchgemacht.
213000	223000	Ich habe jetzt mal dringelassen, damit ihr mal seht, was wir heute dann durchgehen werden.
223000	230000	Ihr könnt euch mal Gedanken darüber machen und sonst ist es auch egal.
273000	283000	Ich habe es gestürzt, ich habe es gestürzt.
283000	293000	Ich habe es gestürzt, ich habe es gestürzt.
293000	303000	Ich habe es gestürzt, ich habe es gestürzt.
303000	313000	Ich habe es gestürzt, ich habe es gestürzt.
313000	333000	Ich habe es gestürzt, ich habe es gestürzt.
333000	353000	Ich habe es gestürzt, ich habe es gestürzt.
353000	373000	Ich habe es gestürzt, ich habe es gestürzt.
373000	393000	Ich habe es gestürzt, ich habe es gestürzt.
393000	413000	Ich habe es gestürzt, ich habe es gestürzt.
413000	433000	Passt, ich gebe euch noch eine Minute und dann bin ich.
433000	453000	Ich gebe euch noch eine Minute und dann bin ich.
453000	473000	Ich gebe euch noch eine Minute und dann bin ich.
473000	501000	Ich gebe euch noch eine Minute und dann bin ich.
501000	517000	All right.
517000	546000	Passt, also hier haben wir es so, dass wir praktisch ein If-Statement in der Vorschleife haben, die uns ab einer gewissen Zahl die Schleife abricht.
546000	565000	Praktisch die Schleife geht da nicht von 0, 1, 2, 3, 4 durch, sondern bricht da ab, sobald die Summe hier erreicht ist, also sobald die Summe größer als 4 ist.
565000	589000	Das sieht man hier, also range, das liefert uns ja praktisch eine zahlende range ab und wir addieren hier dann immer praktisch diese Laufvariable zu unserer initialen Variable,
590000	611000	dass wir praktisch hier in diesem Fall 0 plus 0, 0 plus 1, 1 plus 2, 3 plus 3 und 3 plus 3 ist 6, 6 ist größer als 4 und da bricht man ab.
612000	619000	Und deshalb kommen wir da auch nie wirklich zur letzten Summe.
623000	626000	Ist das soweit verständlich oder gibt es dazu noch Fragen?
626000	649000	Genau, also wichtig bei unseren verdienten Datentypen von dictionary sets, duples und Listenes, dass praktisch nur Listen und Duple geordnet sind, was heißt geordnet?
650000	662000	Wenn ich das kurz zeige, wenn ich zum Beispiel eine Liste definiere,
662000	688000	und das gleiche mit einem Duple, dann bleiben diese Werte fixiert an dieser Position, das heißt da ist intern dann immer ein Index zugewiesen,
688000	714000	1, 2, 0, 1, 2, 0, 1, 2, hingegen bei einem Set oder bei einem Dictionary, die haben keine Indizierung, also da gibt es das 0, 1, 2 nicht,
714000	730000	also ich kann nicht Set an der Stelle 0 machen, das heißt intern beißen weiß nicht, dass der 3 an Position 1 oder 0 ist, 2 an 1 und 1 an 2,
731000	738000	sondern beißen haut ihr einfach in einen Haufen rein und Geschichte ist erledigt,
738000	747000	hingegen bei der Liste und beim Duple ist das komplett fixiert, das heißt ich kann da wirklich auf jeden diese einzelnen Zahlen zugreifen,
747000	761000	mithilfe des Index und eben genau das gleiche mit Dictionaries ist wie bei Sets, praktisch haben wir ja diese Values, aber intern sind die nicht geordnet,
761000	787000	das heißt da wird jetzt auch nicht, wenn jetzt zum Beispiel ich ein Dictionary definiere und dann füge ich dann noch einen zweiten Key hinzu zum Beispiel Key 0,
792000	807000	dann wird diese 0 hier nicht vor dem 10er eingefügt oder irgendwie, sondern das wäre dann einfach eine ungeordnete,
808000	829000	sprichert das einfach irgendwie ab, sicher werden wie ähnlich zu der Liste oder zum Duple können wir eben auch hier mit diesen eckigen Klammern zugreifen,
830000	838000	aber hier wichtig ist, dass es kein Index, also es ist keine Numerierung, sondern es ist ein Key als ein Schlüssel und der kann irgendwas sein,
838000	848000	also der muss jetzt nicht eine Zahl sein, der kann auch ein String sein oder eben auch ein Boolean oder irgendwas und das ist eben der Riesenunterschied zur Liste und Duple.
848000	865000	Da geht es mir halt nicht richtig, ja das Interessante bei Sets ist, dass es keine Duplikate gibt,
865000	873000	das heißt hier zum Beispiel in diesem Beispiel haben wir hier zweimal A drin stehen, das geht bei Sets natürlich nicht,
873000	890000	Sets löscht einfach die zweite A und auch das zweite C raus, genauso wie hier A, A, C, C und auch ganz wichtig Sets können natürlich sowohl Strings als auch Integer oder Floats enthalten.
890000	912000	Okay, das sind auch mehrheitlich richtig, da ist so, wir definieren initial ein Dictionary, wie ihr es seht, ganz wichtig geschwone Klammern und der Doppelpunkt.
913000	925000	Dann fügen wir einen zweiten Value hinzu mit dem Key 4, 5, 6, das heißt wir haben da jetzt im Dictionary Students nicht nur 1, 2, 3 Max drin,
