start	end	text
0	11680	Perfekt. Ja, dann willkommen zum Python Crash Course E, diesmal über Data Science und Bandas.
11680	20640	Bevor wir beginnen, habe ich euch Feedback angelegt. Da könnt ihr diesmal fragen,
20640	28320	falls ihr noch Fragen habt, ob sie live vorprogrammieren oder zum generell programmieren selbst
28320	54240	oder andere Fragen. Also, die Ergebnisse werden ein bisschen länger dauern, weil wir alle
54240	66560	manuell durchkorrigieren müssen. Das sind ca. 100 Abgaben, wahrscheinlich bei die 1, 2 Wochen.
84240	110960	Die Ergebnisse werden ihr wahrscheinlich im Deed-Center auffinden und ich weiß ja,
110960	113680	ob wir noch eine Mail, eine Info-Mail ausschicken werden.
140960	167360	Das Samen 2 werde ich heute bis die Vorstellung am Ende der Vorlesung. Ihr werdet dafür eben auch
167360	177280	das heutige Thema wissen müssen und auch das von der nächsten Vorlesung, das der Helmut dann noch
177280	193760	präsentieren wird. Das ist über Sympai. Sympai wurde von den letzten Studenten also gefragt,
194160	201840	weil das später noch mal in eurem Studium vorkommt und da haben viele gefragt, ob wir da nicht
201840	209520	ein kleines fundamentales Tutorial drüber machen können, damit ihr da nicht als Experten schon
209520	215280	einsteigen müsst in die spätere Vorlesung.
269840	276240	Ich sehe, es gibt keine Fragen zum Programmieren. Das heißt, ich habe da wahrscheinlich die einzigen
276240	285280	Guten hier im Raum. Falls ihr nach Fragen aufkommen, weil ihr euch gestern beim Vorprogrammieren
285280	288720	richtig geärgert habt, dass es nicht funktioniert hat, könnt ihr das natürlich auch fragen.
288720	296720	Also, können wir auf jeden Fall was machen und sonst steige ich direkt ins Data Science-Deme ein.
329520	350720	Die Punktaufteilung vom Vorprogrammieren weiß ich jetzt leider auch nicht ganz genau, aber wir haben
350720	355840	da eigentlich eine spezifische Punktetabelle, nachdem wir vorgehen. Es ist ja so, dass beim
355840	360880	Vorprogrammieren habt ihr erstens wenig Zeit, zweitens seid ihr unter sehr hohen Druck und
360880	366720	da könntest du mal einige Fehler passieren. Und manche Fehler wie zum Beispiel, wenn man
366720	371280	jetzt ein String falsch hat, sind jetzt nicht so problematisch wie wenn man jetzt nicht verstanden
371280	380400	hat, wie man ein Dictionary bedient. Das heißt praktisch, ihr könnt euch darunter so was vorstellen,
380720	391440	wie schwerer der Code zu programmieren war, desto mehr Punkte hat. Aber wir werden so versuchen,
391440	397440	so groß wie möglich zu sein. Und falls es dann immer noch nicht passt, das sagt okay,
397440	403200	da hätte ich mehr verdient, dann könnt ihr immer noch zum Tutorial kommen und dann noch mal nach
403200	422480	Auskunft fragen und diskutieren. Passt, dann werde ich da stoppen. Perfekt. Ja, dann
425200	430320	kurz Southland heute. Also wir werden heute ein Introduction zu Data Science machen.
430480	439760	Das beinhaltet, wie man CSV-Files oder CSV-Dateien einliest und was überhaupt CSV-Dateien sind.
439760	449280	Wir gehen auch nochmal genau auf dieses Import-Modul ein oder was es da auf sie hat.
449280	456800	Dann, der Großteil der Vorlesung wird ein Bandage Tutorial sein. Also da gehen wir ganz genau
456800	461840	ein, was Bandage ist und was man damit anfangen kann, weil ihr Bandage dann auch für das Assignment
461840	472560	2 brauchen wird. Und dann noch kurz ein organisatorisches und kurz das Assignment 2. So, was ist Data Science?
474960	482560	Ja, also Data Science meistens eigentlich ein unnötiges Passwort. Warum? Ja, weil, wie macht man
482880	488960	Wissenschaft ohne Daten? Science Englisch für Wissenschaft, weil das jemand nicht weiß.
491840	496480	Und in Wirklichkeit ist das kein eigenes Forschungsgebiet, sondern besteht aus mehreren
496480	504800	Fachübergreifenden Fähigkeiten. Die könnt ihr da sehen. Und die haben Anwendungen in
504800	510960	industriellen und akademischen Bereichen und wird immer, immer wichtiger heutzutage. Ich weiß nicht,
510960	519520	ob ihr das schon mal gehört habt. Zum Beispiel, so ein Passwort ist Building Information Modeling,
519520	525920	zum Beispiel. Da baut man mit der Software eigentlich ein ganzes Gebäude nach und simuliert
525920	532080	das Gebäude. Das heißt, man kann auch da zum Beispiel herausfinden, wie viel mir die Wartungskosten in
532080	538480	den nächsten 20 Jahren kosten wird. Und das ist ja praktisch. Und dafür braucht man natürlich
538480	553440	sehr viele Daten. Das heißt, wir haben da vereint drei verschiedene Bereiche. Unser Bereich wird
553440	560560	jetzt vor allem hier sein mit Pfeifen und Bandas und Nampaioch. Sind wir dann Hacking Skills oder
560640	570880	eigentlich ist einfach nur der informatische Teil davon. Und Data Science vereint praktisch Skills
570880	580560	von den Statistikern. Das ist hier in der Mathe Bereich, welche Datenmengen modellieren und
580560	587680	zusammenfassen können. Dann haben wir die Arbeiterinformatiker, die eben durch Algorithmen
588000	594000	das Ganze sehr effizient verarbeiten können und visualisieren können, weil wir reden hier nicht
594000	602000	nur von ein paar Hundertzeilen Daten, sondern manchmal sind das aber also Milliarden oder sogar
602000	610400	noch mehr. Also da reden wir von Gigabyte oder Terabyte an Daten. Und dann brauchen wir natürlich
610400	617280	aber auch die Expertise von den Fachexperten. Also die sind natürlich auch notwendig, weil
617600	624240	ich kann schon Daten von einem Haus sammeln, aber wenn ich da nur, keine Ahnung, schaubt, das Licht ein
624240	631360	und aus geht, jeden Tag, das wird wahrscheinlich für einen Bauingenieur nicht sehr hilfreich sein. Der
631360	636480	wird wahrscheinlich andere Daten viel wichtiger finden und deshalb kommt der Bauingenieur zu den
637680	644160	Informatikern oder Statistikern und sagt, ja diese Daten brauche ich, damit ich was anfangen kann.
647920	654400	Ja und das Ganze ist sehr interdisziplinär, also das ist natürlich nicht nur im Bauingenieurswesen,
654400	662960	sondern auch in allen möglichen, also das Recht von Psychologie zu Soziologie, zu
663280	672640	Mathematik, alles Mögliche eigentlich, Elektrotechnik, Maschinenbau
676320	687600	und ja vielleicht noch kurz zu den einzelnen Bubbles, die wir hier sehen. Wir haben hier noch
688560	694640	zum Beispiel dieses Traditional Research. Traditional Research könnt ihr so vorstellen,
694640	703200	das ist jetzt ohne Informatik, das heißt der Experte braucht eine Formel oder irgendeine
703200	707840	statistische Analyse, weil er schon Daten hat und dann gibt hier einfach der Mathematiker
707840	715120	einen Statistiker her und sagt, ja okay, diese Formeln müssen wir anwenden und das hat eigentlich
715120	721280	nichts mit den Informatik zu tun, vielleicht ein bisschen was mit Axel, aber relativ klein.
724160	728320	Dann haben wir auch das Machine Learning Teil hier, das ist eigentlich
730880	736240	Überlappung zwischen den Informatikern und Mathematikern, hier versuchen wir so Regressionen
736320	744880	zu machen oder ja einfach auch wieder praktisch mathematische Modelle aufzustellen,
744880	752880	die wir dann in der Informatik anwenden können. Und dann gibt es eigentlich noch diese Danger Zone
752880	762960	hier und die ist eigentlich, kann man fast sagen gefährliches Halbwissen, das heißt
765680	772400	wir, der Experte zum Beispiel kommt zu uns, zu den Informatikern und sagt, ja er braucht
772400	780640	den Algorithmus und bitte mach mir was, aber eine Informatik kann ich sagen,
780720	786560	nicht unbedingt der beste Mathematiker, das heißt es kann sein, dass er dann zum Beispiel
786560	793760	eine falsche Statistik verwendet oder falsche mathematische Formel anwendet und dann kommen
793760	801920	wir zu sehr plausiblen Ergebnissen, die beim Wirklichkeit nicht stimmen. Ja, das ist ungefähr
802240	813920	der Data Science zusammengefasst, also hier nochmal Expertenwissen. Genau, dann kurz zum Inboard.
818640	822000	Ihr habt es wahrscheinlich eh schon mal gesehen, jetzt sehen wir es mal mit einem zum Beispiel,
822000	829200	da importieren wir die Math Library und das Inboard-Keywort, mit dem können wir praktisch
829280	834880	Funktionalität von anderen Python-Files oder Scripts oder Modulen praktisch importieren.
835520	842240	Zum Beispiel, ich habe jetzt zwei Daten, zwei Python-Dateien und in der einen habe
842240	846320	ich eine tolle Funktion geschrieben und die möchte ich jetzt in der anderen Datei verwenden,
846320	851600	dann kann ich die einfach praktisch mit diesem Inboard-Statement importieren. Das heißt,
852560	859360	ich kann der Code Bausteine von anderen Bibotheken oder einfach Python-Files hernehmen
859360	866960	und in meinem Python-File verwenden. Und da habe ich das eh schon gesagt, Bibotheken,
866960	871040	da sind praktisch diese Libraries und das sind meistens externe Code Bibotheken
871840	881600	und die kann man eben mit diesem Python, mit diesem PIP installieren. PIP steht für PIP installs
883200	893440	Packages. Cool, cooles Akronym. Und einerseits haben wir eben dieses PIP und einerseits haben wir
893440	899520	diese Python Standard Library. Zum Beispiel, dieses Math, diese Math Library, die wir importiert haben
899520	905520	in der Cymint1, das ist eine Standard Library. Ich kann das kurz zeigen, wenn wir da draufklicken.
930000	936480	Das sehen wir praktisch eigentlich alles, was Python so an sich hat.
940320	948880	Und hier fangen wir praktisch eigentlich so, also diese, man sieht hier die Schriftart,
948880	954480	ist ein bisschen anders. Das sind praktisch alles Standard Libraries und da gibt es sehr, sehr,
954560	961760	sehr viele. Und zum Beispiel dieses Math habt ihr schon kennengelernt, aber da gibt es eben auch so,
961760	968560	weil ich, also die haben dann größere Überschriften, zum Beispiel hier, die haben alles mit Files zu tun,
973920	977440	File Format, dann hier zum Beispiel kryptografische Services,
978240	985520	die sind generische Betriebsoperationssystems, Services.
987600	992160	Ja, könnt euch ruhig mal durchschauen. Es ist auf jeden Fall interessant, weil wahrscheinlich,
992160	996240	falls ihr was praktisch programmieren wollt, gibt es wahrscheinlich schon.
997520	1002240	Und das andere wäre praktisch eigentlich PIP. Da kann ich das auch kurz zum Beispiel zeigen,
1002320	1005120	das wäre hier PIP, zum Beispiel Pandas.
1018160	1023280	Da sieht man zum Beispiel immer, wie man so ein Paket installieren kann, also es ist dann einfach
1023280	1030080	PIP Install Pandas, in diesem Fall. Und Pandas hier zum Beispiel, hier sieht man die ganzen Informationen
1030080	1037280	zu diesem, zu diesem, dieser Pivotek. Und da gibt es natürlich unmenschlich viele,
1037280	1041280	also da kann man dann oben hier suchen. Zum Beispiel, wenn ich jetzt Karnung
1043360	1051200	möchte, was suchen, zum Beispiel irgendwas über Machine Learning, da kann ich zum Beispiel schauen.
1054240	1056400	Ein ganz bekanntes ist zum Beispiel By-Touch.
1061040	1062560	Also, das heißt By-Touch.
1069040	1074480	Und da zum Beispiel hat man dann eine ganze Pivotek, mit dem man praktisch Machine Learning
1074480	1085120	betreiben kann. Und die können natürlich sehr, sehr, sehr stark sein, also da kann Funktionalität
1085440	1091040	drin sein, wo man selber wahrscheinlich Jahre bräuchte, um das zu programmieren.
1092480	1097280	Meistens diese Pakete werden auch von Hunderten von Leuten gleichzeitig also programmiert, also
1097280	1104080	da wird dann aufgeteilt, wer was macht. Und deshalb geht das dann auch so flott.
1105600	1111360	Aber ja auch By-Touch ist jetzt, glaube ich, seit über zehn Jahren in Entwicklung. Also,
1112000	1116400	so was würde man nie selber eigentlich programmieren. Auch zum Beispiel kryptografische
1117120	1121840	Pivotek, die sind immer besser, wenn man sie runterlässt, statt sich selber zu programmieren,
1121840	1128080	weil man kann sich vorstellen, ein Back-Und schon ist ein ganzes kryptografisches Verfahren kaputt.
1128880	1131040	Aber ja, das ist für euch hier nicht so richtig.
1131440	1142400	Genau. Genau, das heißt praktisch, wir importieren hier Module und das sind dann unsere Werkzeuge,
1142400	1144800	die wir aus der Werkzeugkiste nehmen und die können wir dann verwenden.
1148240	1154800	Zum Sintax vielleicht kurz noch, wir können einfach Import und dann den Modulnamen schreiben.
1155520	1160480	Das wird uns eine Fehler werfen, falls der Modulnamen nicht existiert oder wir den noch nicht
1160480	1165360	installiert haben mit pip install. Also, falls ihr da eine Fehlermellung kriegt,
1165360	1169520	dann vielleicht schaut ihr, ob der dann nochmal mit pip install das installiert.
1170400	1176240	Ihr könnt dann auch noch hier mit ass ein Kürzel definieren. Hier zum Beispiel sieht man das
1176240	1183120	gut, pandasas.pd. Und dann kann man da statt den ganzen Modulnamen, der vielleicht auch sehr
1183440	1192400	lang sein kann, einfach dieses Kürzel verwenden. Und dann kann man da Kürzelpunkt und dann Funktionsnamen
1192400	1198000	zum Beispiel, wenn man da Funktionen von dieser Bibothek verwenden will. Das schaut zum Beispiel
1198000	1207360	so aus. Ich kann hier zum Beispiel random als rd importieren und dann hat dieses Random-Bibothek
1208080	1219120	zum Beispiel diese rd int Funktion, die praktisch unsere Randomzahl zwischen 1 und 13 einfach wählt
1221520	1227040	und die wir dann hier in diese variabel speichern können. Also, ich kann das auch kurz zeigen.
1227040	1233600	Zum Beispiel random, ganz wichtig ist auch eine der Standard-Bibotheken. Schau mal.
1237600	1247120	Ich kann da praktisch ganz oben hier, schauen, ob ich das größer machen kann.
1256000	1261440	Dann kann ich eben, also wenn ich hier zum Beispiel ein Wischlerstudekord bin,
1261520	1268240	dann sehe ich auch automatisch, welche Funktionen ich zur Verfügung habe. Und die fangen dann
1268240	1274720	hier alle an. Und wie ihr seht, da gibt es dann sehr, sehr viele. Wir wollen hier zum Beispiel
1274720	1281840	diese rd int. Und da seht ihr auch auf der Seite hier zum Beispiel eine kurze Beschreibung,
1283200	1289600	was die macht. Return random integer in range ab, including both endpoints. Das heißt praktisch
1289680	1299120	sowohl a als b kann auch noch gezogen werden. Das heißt, wenn ich hier 1 und 5 mache und das ausführe,
1302720	1306240	da bekomme ich diesmal 4. Wenn ich das nochmal ausführe, dann bekomme ich eine andere Zahl.
1309040	1314320	Also wie ihr seht, kann dem anders sein. Jetzt zum Beispiel was die selbe.
1314400	1324000	Genau, ja. Ich hab's ja zur Frage. Also das Kürzel hier ist nicht unbedingt notwendig.
1326000	1327600	Dann müsst ihr aber hier dann random schreiben.
1331840	1338960	Und wenn ihr das import vergisst, dann sagt es hier auch schon gleich random is not defined.
1339920	1342400	Random existiert praktisch nicht. Ist nicht definiert.
1344480	1346480	Diesmal geht's. Warum? Weil ich
1349760	1353840	wenn ich jupiter in jupiter arbeite und das einmal ausgeführt hab,
1353840	1358240	dann merkt sich das jupiter und man muss es nicht zweimal oder dreimal importieren.
1358240	1360720	Zum Beispiel wenn ich es jetzt ausführe, wo praktisch alles gelöscht wurde,
1362480	1364160	dann bekomme ich diesen name error.
1367920	1370160	So, was machen wir so?
1374560	1391040	Genau, dann kommen wir zu den csv Dateien. csv Dateien, hier ein tolles Beispiel.
1392000	1397600	Das heißt einfach comma separated values. Praktisch comma separiert. Wir haben hier
1397600	1403920	praktisch irgendwelche Werte drin stehen. Komma, dann der nächsten Wert. Komma und so weiter.
1404000	1411280	Und sofort. Das Wichtige dabei ist, dass hier, wenn wir hier vier Spalten definieren am Anfang,
1411280	1413760	hier mal Trikelnummer vorne, dann mal nachher mit Punkte,
1414720	1417120	da müssen die darauf folgenden auch immer vier sein.
1419040	1422160	Und das schaut dann in Excel zum Beispiel so aus, das kennt ihr wahrscheinlich eh alle.
1425360	1431280	Und genau, das ist einfach der Werte in einem Tabellenformat.
1434080	1439520	Und ganz wichtig, das muss nicht nur nimmer ein Comma sein, das kann auch andere Werte sein,
1439520	1446720	zum Beispiel, wie interessant es sind, dieses Semikolon, also Strichpunkt oder zum Beispiel auch Tabulator.
1450160	1456880	Genau, und wie kann man mit denen in Beifen arbeiten? Da gibt es mehrere Varianten.
1456880	1461280	Da gibt es zum Beispiel dieses csv Package, das ist auch wieder eine Standard Library
1461280	1465280	oder eben mit Banders, das werden wir jetzt dann machen.
1468320	1474320	Genau, zur Banders. Also wie ihr seht, Banders ist eigentlich ziemlich ähnlich wie Excel,
1474320	1479040	also ihr könnt euch das so vorstellen, dass ihr da auch wieder so Tabellen habt.
1480720	1487040	Aber das coole ist, dass ihr da nicht nur, keine Ahnung, 100 Zeilen,
1487040	1492080	oder wenn man mit Excel mit 100.000 Zeilen arbeitet, ist das schon sehr unübersichtlich.
1492080	1496320	Ihr könnt euch vorstellen, wenn man das ganze visuell machen muss, zum Beispiel da
1496960	1502000	eine Formel herunterziehen muss in einer Spalte, dann kann das sehr viel Zeit beanspruchen.
1503040	1507840	Banders, da können wir dann Beifencode verwenden und dann geht das sehr schnell,
1507840	1511680	da kann man in einer Zeile auf eine Milliarde Zeilen zugreifen.
1512640	1516640	Und das geht alles auf dem Laptop, also das ist kein Problem.
1519600	1524800	Und da kann man eben Excel-Dateien oder eben csv Tabellen einlesen.
1527840	1533920	Und das Wichtigste eigentlich für euch zu wissen ist, also so was nennt man ein Data Frame,
1534880	1535920	das ist praktisch
1539200	1547360	Netabelle, die besteht eigentlich aus mehreren Listen, also die Spalten hier sind einfach Listen.
1548960	1552080	Und man kann dann eigentlich sehr ziemlich ähnlich zugreifen wie Dictionaries,
1553440	1562320	nur sind diese Banders Data Frames noch viel stärker als eben Dictionaries.
1563920	1570720	Da gehen wir dann eh gleich drauf ein und generell einfach Banders verwenden wir
1570720	1576880	für praktisch eine effiziente Datenverwaltung, das heißt wir können da wie gesagt auf Milliarden
1576880	1585280	von Daten gleichzeitig zugreifen und die verändern. Und ja, da hat eben verschiedene
1585280	1592800	Funktionalitäten, Ladenspeichern, Zugriff, Filtern von Daten. Wir können fehlende oder
1592800	1600320	fehlerhafte Daten ausbessern. Wir können Ergebnisse berechnen, zum Beispiel wollen
1600320	1607040	wir den Mittelwert berechnen, dann ist das ganz einfach möglich. Wir können die Tabelle
1607040	1612000	erweitern, wenn wir möchten. Und auch ganz cool ist, wir können auch blotten, das heißt wir können
1612080	1618080	grafen erstellen und ja, da möchte ich euch da ein bisschen was zeigen heute.
1621760	1626720	Zuerst mal, wie kann man so ein Data Frame überhaupt anlegen? Und da gibt es mehrere
1626720	1630400	Möglichkeiten, da kann man zum Beispiel das Ganze mit einem Dictionary machen.
1631840	1637840	Hier seht ihr zum Beispiel haben wir Population Area hier als Spalten.
1638800	1645120	Das heißt wir haben hier Population und Area und dann haben wir hier für die einzelnen
1645120	1653760	Zeilen nochmal ein Dictionary. Und da gehen wir dann einfach her, okay für Population, also für
1653760	1659520	Population für diesen Bereich hier, möchten wir für Kalifornia den Wert drin stehen haben,
1659520	1666400	für New York den Wert stehen haben und für Florida den Wert stehen haben. Und für Area,
1666480	1671360	also für diese Spalter hier wollen wir diese Werte drin haben. Und dann kann man das ganze
1671360	1679840	Dictionary einfach in so ein Data Frame konvertieren, wenn wir einfach bd, also pandas,
1679840	1685040	Punkt Data Frame aufrufen und dann in den Klammern drin das Dictionary. Die andere Möglichkeit,
1685040	1690320	was wir machen können, ist das Ganze mit Listen machen. Und das ist einfach eine
1690320	1695680	zweidimensional Liste, praktisch eine Liste in Listen. Und da definieren wir einfach immer eine
1695680	1704400	ganze Zeile, also Kalifornia den Wert den Wert, also den Wert den Wert, New York den Wert den Wert,
1704400	1710640	New York den Wert den Wert und so weiter und so fort. Das ist natürlich sehr umständlich und
1710640	1715920	meistens wird es sehr schnell unübersichtlich und ihr könnt euch vorstellen, wenn ich davor
1715920	1720000	von Milliarden von Daten geredet habe, dann werde ich das Ganze hier nicht so machen.
1720160	1733600	In der Praxis laden wir eher Daten von CSV, CSV Tabellen oder von anderen Data ein. Da gibt es
1733600	1740320	natürlich auch noch viel effizientere Formate als CSV, aber die müsst ihr eigentlich für diese
1740320	1745880	Vorlesung nicht wissen. Die können aber daneben Binary gespeichert werden und sind dann viel
1745880	1753640	effizienter. Genau, wie lesen wir so eine CSV-Datei ein? Ja, das machen wir einfach mit Read CSV.
1757640	1761720	Das heißt, wir haben hier zum Beispiel eine CSV-Datei, also wenn wir die in Excel aufmachen,
1761720	1770160	dann schaut das so aus und im Bandage können wir dann einfach hier Bandage importieren und dann
1770160	1776760	read CSV, eben eine CSV-Datei einlesen und dann BAM, haben wir hier die Tabelle, ich kann das auch
1776760	1793600	kurz vorzeigen. Okay, also noch mal kurz zur Aufrichtung hier zum Beispiel, das funktioniert
1793600	1804880	nicht, dann können wir hier mit PIP install Bandage. Ihr seht, habe ich hier einfach ein Rufzeichen
1804880	1811960	davor gemacht, dann kann ich eben so Kommands einfügen, die ich normalerweise im Terminal aufrufe.
1812960	1822040	Jetzt hat es mir hier Bandage installiert. Jetzt, wenn ich das nochmal ausführe, funktioniert,
1822040	1833080	also das haben wir gerade durchgemacht und hier zum Beispiel habe ich eine CSV-Datei, die schaut so
1833080	1846800	aus und dann kann ich die einfach einlesen. Und da hat man auch irgendwie für das Studio Code
1846800	1853600	eigentlich eine tolle Übersicht, also da kann man zum Beispiel hier auch so filtern direkt schon,
1853600	1861520	also zum Beispiel, wenn wir die aufsteigend haben, dann kann ich die Wert aufsteigend anzeigen und wenn
1861520	1882520	ich da natürlich Dausende von Zeilen habe, dann kann ich die alle anschauen. Genau. Dann kommen wir
1882520	1888760	zum nächsten, also wie greif ich da zum Beispiel auf einzelne Spalten zu? Da gibt es mehrere Varianten,
1888760	1895200	da gibt es zum Beispiel, dass ich das so mache wie ein Dictionary zum Beispiel, also ich habe hier
